player_id,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8474673,2021,3.26,3.16,11,13,68,29,61,158,28,4,4,64,0,53,30
8474679,2021,17.41,17.05,24,11,122,47,39,208,53,18,13,104,14,41,46
8474683,2021,13.94,13.45,9,5,117,38,38,193,29,15,6,102,204,69,21
8474688,2021,0.51,0.51,1,0,16,5,2,23,2,1,2,15,0,18,0
8474697,2021,1.69,1.65,2,2,45,22,24,91,4,0,1,45,0,196,7
8474709,2021,7.17,7.05,3,1,66,20,20,106,7,3,3,63,8,235,11
8474715,2021,24.76,23.86,20,7,215,58,58,331,50,23,26,192,5,20,37
8474716,2021,5.8,5.59,16,14,116,41,77,234,40,10,8,106,0,44,13
8474722,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8474818,2021,1.36,1.37,4,3,37,17,23,77,8,1,2,36,0,51,6
8474849,2021,6.95,6.58,4,0,59,26,18,103,8,4,7,55,17,74,9
8474870,2021,3.24,3.05,2,3,32,13,11,56,8,3,3,29,59,66,7
8474884,2021,14.98,14.07,11,9,154,53,78,285,35,15,19,139,12,27,32
8475098,2021,3.71,3.66,4,5,46,10,17,73,12,3,2,43,175,20,20
8475149,2021,12.87,11.94,13,7,111,34,38,183,29,9,18,102,41,31,26
8475151,2021,18.03,17.51,8,10,156,59,52,267,33,15,11,141,15,77,16
8475158,2021,23.2,22.49,24,13,168,47,37,252,58,21,11,147,900,20,50
8475160,2021,2.12,2.13,1,2,29,7,8,44,4,1,2,28,3,50,5
8475163,2021,13.4,12.72,7,2,98,19,23,140,22,13,10,85,10,68,7
8475164,2021,8.12,7.9,7,9,120,34,29,183,21,5,12,115,8,16,30
8475166,2021,33.38,31.74,21,28,237,110,82,429,76,27,27,210,813,90,40
8475167,2021,14.75,14.38,34,31,219,112,131,462,85,20,19,199,0,93,52
8475168,2021,34.82,33.51,24,19,229,89,65,383,86,43,14,186,119,31,31
8475169,2021,18.53,18.28,9,8,152,54,54,260,39,22,13,130,9,135,16
8475170,2021,17.92,17.01,27,7,111,41,45,197,58,24,10,87,284,119,42
8475171,2021,6.45,6.16,14,10,168,66,118,352,29,5,16,163,0,105,26
8475172,2021,29.41,28.19,35,24,247,92,100,439,87,28,24,219,585,52,36
8475176,2021,0.2,0.2,1,3,6,2,5,13,5,1,0,5,0,1,2
8475177,2021,3.8,3.76,2,2,107,45,73,225,8,4,4,103,0,146,18
8475178,2021,7.31,7.27,10,3,58,26,19,103,19,6,5,52,3,154,13
8475179,2021,5.01,4.98,11,6,74,38,56,168,24,7,5,67,0,100,16
8475181,2021,2.71,2.63,6,15,71,33,34,138,24,3,4,68,0,37,30
8475184,2021,38.9,36.18,12,13,258,85,69,412,77,52,22,206,67,141,27
8475186,2021,0.23,0.23,1,0,7,3,5,15,1,0,1,7,0,9,2
8475188,2021,3.61,3.56,5,10,85,48,62,195,18,3,6,82,0,154,37
