player_id,season,games_played,penalty_minutes,ice_time,game_score,shifts
8476441,2021,24,25,28200,3.15,560
8476442,2021,70,19,60495,9.41,1507
8476448,2021,67,10,73493,51.05,1528
8476449,2021,7,6,6078,-1.57,131
8476453,2021,47,22,56352,62.86,1009
8476454,2021,63,16,73023,42.59,1334
8476455,2021,51,58,62172,65.83,1201
8476456,2021,80,34,93324,109.37,1839
8476457,2021,82,55,109622,26.23,2115
8476458,2021,74,59,81365,47.26,1538
8476459,2021,81,12,95415,74.84,1902
8476460,2021,67,23,84958,63.04,1500
8476461,2021,29,14,35475,22.61,739
8476462,2021,62,34,78952,39.63,1536
8476463,2021,73,18,102662,41.35,1824
8476466,2021,1,0,834,-0.68,18
8476467,2021,72,44,83518,22.33,1713
8476468,2021,80,47,101075,92.66,2069
8476469,2021,60,14,49405,16.06,1152
8476470,2021,24,25,15509,0.35,346
8476473,2021,57,47,74428,3.57,1558
8476474,2021,2,0,1719,1.05,39
8476479,2021,79,38,85916,68.9,1905
8476480,2021,75,45,65931,24.08,1467
8476483,2021,70,12,75538,50.43,1531
8476495,2021,1,0,337,0.35,9
8476505,2021,2,0,1605,-0.07,37
8476525,2021,38,21,43279,13.35,929
8476539,2021,76,26,80161,79.34,1606
8476545,2021,2,0,723,0,16
8476624,2021,79,59,79216,24.81,1627
8476779,2021,50,12,45759,17.32,1042
8476792,2021,64,48,78916,38.83,1760
8476807,2021,8,4,6197,0.47,149
8476822,2021,82,15,69449,15.51,1804
8476826,2021,74,45,82066,45.66,1687
8476850,2021,37,2,31274,5,721
8476851,2021,60,32,47353,6.92,1088
8476853,2021,82,40,116791,75.98,2242
8476854,2021,71,46,95877,30.85,1815
8476856,2021,57,47,79020,28.4,1377
8476867,2021,30,12,14573,10.11,351
8476869,2021,82,48,104020,58,2116
8476870,2021,1,0,219,-0.15,5
8476871,2021,68,30,65504,44.4,1521
8476872,2021,67,35,66014,24.71,1592
8476873,2021,19,4,15555,4.58,368
8476874,2021,66,10,72401,19.77,1419
8476875,2021,74,33,83468,46.75,1716
8476878,2021,56,17,49692,18.99,1148
8476879,2021,78,14,97795,32.55,1843
8476880,2021,78,78,86965,51.05,1755
8476881,2021,82,30,98106,62.14,2079
8476882,2021,77,24,81772,69.69,1699
8476884,2021,11,4,10231,5.55,216
8476885,2021,81,88,108985,47.45,2240
8476886,2021,19,16,12738,2.82,286
8476887,2021,69,22,74925,86.96,1515
8476889,2021,77,52,72852,10.28,1723
8476891,2021,73,24,82025,43.5,1842
8476892,2021,80,18,113069,26.27,2522
8476897,2021,59,19,49558,14.53,1103
8476902,2021,76,12,100526,24.04,2021
8476905,2021,79,26,91504,56.88,1833
8476906,2021,82,26,109178,31.78,2095
8476907,2021,14,4,6694,1.4,158
8476913,2021,49,10,28111,10.1,676
8476915,2021,27,13,22032,2.65,507
8476917,2021,78,32,99595,32.75,2087
8476918,2021,68,12,58850,16.75,1399
8476919,2021,70,14,52141,13.17,1195
8476921,2021,59,22,39651,26.12,918
8476923,2021,80,57,113268,45.2,2120
8476924,2021,6,2,5051,3.23,99
8476925,2021,79,30,76609,25.63,1696
8476927,2021,65,10,58570,27.42,1321
8476931,2021,75,33,91379,7.55,1923
8476934,2021,64,14,57581,19.75,1322
8476952,2021,77,22,38801,7.34,962
8476958,2021,79,10,111532,63.92,2072
8476960,2021,28,4,25593,19.89,547
8476966,2021,2,0,865,-0.74,22
8476967,2021,74,45,78831,23.15,1555
8476975,2021,24,15,12759,0.28,341
8476979,2021,59,14,57412,19.52,1189
8476981,2021,69,55,71313,28.48,1442
8476982,2021,5,0,3017,0.14,63
8476983,2021,1,0,767,-0.17,20
8476988,2021,65,39,63715,9.77,1491
8476989,2021,9,5,7590,2.43,172
8476994,2021,62,24,51603,23.26,1109
8477003,2021,4,2,2026,-0.55,44
8477015,2021,64,10,77018,37.91,1570
8477018,2021,58,32,53819,21,1148
8477021,2021,82,20,74856,48.67,1689
8477034,2021,44,16,50478,6.3,1142
8477070,2021,39,76,22177,-1.05,548
8477073,2021,58,59,25749,7.2,667
8477126,2021,20,4,12366,2.29,292
8477149,2021,7,11,3190,0.16,90
8477205,2021,38,16,33569,1.45,722
8477210,2021,32,19,17754,6.14,436
8477215,2021,59,26,65505,2.13,1438
8477220,2021,77,10,93367,33.88,1909
8477240,2021,26,0,16643,2.31,382
8477244,2021,78,14,71747,26.2,1596
8477290,2021,76,16,66285,17.67,1657
8477320,2021,32,14,20593,3.02,501
8477330,2021,78,16,67958,25.38,1461
8477335,2021,42,39,32600,5.33,758
8477341,2021,71,30,61183,35.24,1402
8477343,2021,2,7,1493,-0.05,33
8477346,2021,80,51,112188,74.87,2372
8477353,2021,58,22,48759,16.66,1131
8477355,2021,37,0,36593,7.73,762
8477359,2021,40,12,40803,8.67,887
8477365,2021,60,32,57831,20.6,1256
8477369,2021,64,47,67814,23.88,1525
8477380,2021,22,10,14330,3.11,347
8477384,2021,52,37,44356,4.88,1040
8477392,2021,11,0,6523,-1.36,155
8477401,2021,55,54,35797,0.57,835
8477402,2021,73,34,80155,73.75,1643
8477404,2021,76,44,91644,91.41,1825
8477406,2021,67,21,57664,22.72,1260
8477407,2021,74,30,66669,66.92,1369
8477409,2021,78,48,75043,72.06,1581
8477416,2021,80,16,86159,57.49,1624
8477419,2021,25,37,10435,-1.5,284
8477425,2021,3,4,2657,-1.4,59
8477426,2021,80,29,79257,34.07,1746
8477429,2021,72,16,82852,60.02,1687
8477433,2021,19,27,15662,-2.08,373
8477435,2021,75,24,93211,34.22,1858
8477444,2021,80,18,78040,68.48,1639
8477446,2021,51,60,31791,15.29,725
8477447,2021,78,24,108267,65.37,2050
8477450,2021,62,19,48516,10.22,1197
8477451,2021,82,85,89448,75.75,1637
8477454,2021,79,34,63446,8.68,1407
8477456,2021,70,25,68554,32.44,1479
8477460,2021,38,25,30309,8.06,672
8477461,2021,1,0,657,-0.3,17
8477462,2021,64,35,61514,6.28,1344
8477464,2021,18,4,11110,3.79,245
8477471,2021,9,7,6660,-1.45,153
8477472,2021,3,2,2457,2.4,60
8477473,2021,14,6,7626,-2.01,205
8477474,2021,2,0,1888,-1.1,46
8477476,2021,74,22,67022,43.7,1562
8477478,2021,63,24,43938,33.25,1080
8477479,2021,68,37,81092,57.89,1470
8477482,2021,80,50,68635,14.63,1552
8477488,2021,70,29,91143,46.7,1771
8477492,2021,65,42,82138,100.05,1579
8477493,2021,67,18,81619,97.14,1559
8477494,2021,34,13,34873,13.06,750
8477495,2021,63,24,99650,38.6,1896
8477496,2021,82,22,98129,99.17,2077
8477497,2021,65,24,54831,27.82,1256
8477498,2021,71,54,106707,51.82,1875
8477499,2021,66,38,84906,13.07,1829
8477500,2021,70,40,81853,57.2,1716
8477501,2021,62,14,70777,69.3,1494
8477503,2021,72,55,56313,34.57,1281
8477504,2021,79,56,112145,47.63,2109
8477505,2021,80,28,85689,32.98,1791
8477506,2021,56,2,71014,24.25,1470
8477507,2021,74,67,75081,42.2,1852
8477508,2021,70,16,50375,20.52,1214
8477511,2021,37,14,33675,27.02,694
8477512,2021,8,0,5326,-0.64,137
8477527,2021,32,34,19721,1.01,460
8477541,2021,2,0,1668,0.07,36
8477573,2021,30,2,20776,11.23,452
8477631,2021,1,0,504,-0.2,13
8477810,2021,44,4,31523,3.8,748
8477839,2021,71,14,65118,42.13,1364
8477845,2021,72,30,75462,21.62,1589
8477846,2021,67,26,50579,12.1,1246
8477851,2021,45,4,49375,5.97,929
8477887,2021,44,11,32825,4.78,852
8477903,2021,76,57,61054,35.37,1472
8477919,2021,76,8,74391,42.55,1448
8477930,2021,80,19,66035,22.41,1514
8477931,2021,75,32,60111,18.07,1365
8477932,2021,61,26,91212,73.1,1831
8477933,2021,78,13,83112,88.74,1596
8477934,2021,80,40,107276,103.83,1827
8477935,2021,71,74,72178,67.68,1494
8477936,2021,1,0,874,0.2,18
8477938,2021,43,13,41478,7.3,901
8477939,2021,81,16,88807,83.53,1774
8477940,2021,62,20,67216,70.93,1330
8477941,2021,57,43,43439,19.34,990
8477942,2021,82,42,86824,88.38,1547
8477943,2021,23,6,11554,3.39,246
8477944,2021,26,6,23296,16.61,473
8477946,2021,71,47,83740,64.21,1520
8477947,2021,66,10,60501,34.48,1257
8477948,2021,80,34,110257,30.03,2278
8477949,2021,50,14,55225,40.63,1141
8477950,2021,64,36,76065,61.38,1458
8477951,2021,63,14,68975,44.51,1461
8477952,2021,56,35,58227,26.86,1067
8477953,2021,79,16,68883,36.3,1483
8477955,2021,74,23,71653,54.79,1553
8477956,2021,72,20,80372,98.73,1463
8477960,2021,78,46,86972,65.63,1873
8477962,2021,50,87,32235,21.35,758
8477964,2021,81,40,79906,36.32,1676
8477969,2021,72,38,67630,28.47,1490
8477974,2021,1,0,600,0,12
8477979,2021,74,47,43584,22.07,1031
8477986,2021,81,48,86992,55.37,1912
8477987,2021,74,30,61246,32.94,1306
8477989,2021,56,14,58380,23.67,1290
8477996,2021,75,14,55242,7.97,1385
8477998,2021,82,24,62052,34.63,1367
8478010,2021,66,33,77069,56.35,1446
8478013,2021,51,10,42913,15.37,1030
8478017,2021,26,23,20713,6.83,488
8478020,2021,56,15,40857,25.53,886
8478021,2021,33,13,24909,8.58,543
8478038,2021,66,20,100462,74.2,1920
8478040,2021,16,7,8949,-1.02,222
8478042,2021,66,22,67246,65.74,1388
8478043,2021,56,33,45599,7.48,1053
8478046,2021,76,16,57980,42.81,1307
8478047,2021,79,60,73671,78.83,1560
8478051,2021,41,16,28958,0.85,704
8478055,2021,71,18,90389,58.33,2054
8478056,2021,9,6,4505,0.35,111
8478057,2021,30,16,15287,10.58,366
8478058,2021,3,2,1028,0,27
8478062,2021,67,27,84082,-6.8,1728
8478067,2021,79,22,65417,19.26,1599
8478074,2021,4,2,1591,-0.21,39
8478075,2021,58,10,41888,1.1,917
8478099,2021,21,6,16747,5.74,369
8478104,2021,14,17,11305,3.14,233
8478106,2021,5,0,2987,1.88,71
8478109,2021,72,6,66453,45.24,1419
8478115,2021,78,30,62164,45.09,1476
8478131,2021,50,14,41962,30.46,969
8478133,2021,72,22,67371,29.66,1581
8478136,2021,66,82,73990,12.58,1585
8478146,2021,46,14,35038,8.8,894
8478147,2021,4,5,1085,-0.28,31
8478173,2021,6,11,4752,0.7,119
8478178,2021,4,0,2561,0.85,60
8478211,2021,76,42,56031,14.5,1166
8478233,2021,82,28,77377,75.4,1804
8478250,2021,4,2,3356,-0.48,71
8478366,2021,71,22,56058,43.31,1207
8478396,2021,81,19,103554,65.92,2438
8478397,2021,82,28,111582,65.85,2500
8478398,2021,79,4,103219,88.08,1892
8478399,2021,70,42,86380,22.8,1690
8478400,2021,24,4,22086,12.57,472
8478401,2021,70,22,70788,41.56,1548
8478402,2021,80,35,105918,136.31,1757
8478403,2021,34,10,39559,31.77,744
8478407,2021,73,63,90559,33.72,1787
8478408,2021,60,14,55209,16.1,1255
8478413,2021,62,69,54172,27.62,1146
8478414,2021,77,54,88501,84.59,1759
8478415,2021,10,4,9435,5.72,212
8478416,2021,55,46,63205,22.75,1313
8478420,2021,75,56,94355,105.19,1808
8478421,2021,9,2,4242,4.01,111
8478424,2021,77,15,43782,9.14,992
8478425,2021,6,0,5280,0.1,111
8478427,2021,79,38,89841,85.19,1819
8478430,2021,73,14,79532,47.5,1950
8478431,2021,72,28,46462,15.49,1050
8478432,2021,53,14,41698,3.04,997
8478434,2021,77,68,58445,25.59,1380
8478438,2021,27,2,19106,9.25,406
8478439,2021,79,47,83489,54.95,1813
8478440,2021,69,28,72204,41.36,1402
8478442,2021,1,0,364,0.97,9
8478443,2021,79,31,93403,27.53,2049
8478444,2021,71,20,79119,53.78,1532
8478445,2021,73,18,78926,51.66,1450
8478446,2021,2,2,1109,0.33,25
8478447,2021,9,0,6702,2.48,153
8478449,2021,80,28,86573,78.93,2027
8478451,2021,58,20,55959,28.33,1214
8478452,2021,66,22,74210,19.02,1530
8478454,2021,8,0,7044,0.7,184
8478458,2021,81,12,69407,38.71,1522
8478460,2021,68,22,104700,48.8,1786
8478462,2021,78,41,76092,47.99,1694
8478463,2021,75,12,75750,27.18,1577
8478465,2021,1,0,253,-0.25,8
8478466,2021,63,8,49092,29.84,979
8478467,2021,50,39,50627,-5.15,1214
8478468,2021,66,71,69979,5.33,1509
8478469,2021,59,26,92720,43.92,1555
8478472,2021,69,29,58780,32.12,1348
8478474,2021,65,52,67979,25.67,1531
8478476,2021,45,38,43211,0.95,982
8478477,2021,27,8,18109,-0.92,433
8478480,2021,2,2,1099,-1.26,30
8478483,2021,72,16,90214,105.32,1744
8478485,2021,2,2,783,-0.65,20
8478486,2021,3,0,1216,0.3,27
8478491,2021,6,2,5498,0.83,109
8478493,2021,77,28,85831,61.09,1641
8478495,2021,73,16,62131,29.15,1397
8478498,2021,77,10,69468,57.36,1504
8478500,2021,79,34,117982,30.7,2348
8478506,2021,38,10,27969,8.1,651
8478507,2021,81,23,100295,32.35,2089
8478508,2021,80,46,70405,29.34,1488
8478512,2021,17,0,11118,7.82,258
8478519,2021,76,50,83504,52.69,1791
8478528,2021,23,0,13197,1.04,322
8478542,2021,82,14,77918,65.2,1650
8478550,2021,75,8,86501,79.58,1491
8478567,2021,41,16,40078,8.67,878
8478569,2021,20,11,14380,10.97,325
8478585,2021,75,8,51439,26.2,1283
8478831,2021,3,2,1355,0.09,32
8478838,2021,6,0,3829,0.45,96
8478840,2021,36,28,33012,12.43,772
8478841,2021,27,8,21470,1.55,516
8478846,2021,9,2,7936,3.13,172
8478851,2021,77,50,96933,30.12,2066
8478856,2021,77,26,75706,64.42,1677
8478859,2021,54,55,55022,4.2,1404
8478864,2021,81,34,92864,112.88,1576
8478866,2021,72,24,44435,23.47,1046
8478868,2021,11,2,7267,0.03,177
8478870,2021,61,20,55035,20.26,1315
8478873,2021,75,26,82064,64.63,1687
8478874,2021,58,17,39392,12.6,895
8478881,2021,2,0,842,-0.63,20
8478882,2021,80,68,106978,22.8,2025
8478891,2021,68,20,60731,21.42,1354
8478904,2021,67,8,43772,22.8,1030
8478906,2021,1,0,421,0.9,12
8478911,2021,67,28,84354,44.73,1671
8478915,2021,13,2,11921,4.95,235
8478949,2021,1,0,488,0.2,12
8478967,2021,29,10,18302,-4.02,418
8478970,2021,16,8,14197,7.62,327
8478975,2021,54,43,45744,58.84,977
8478996,2021,25,2,13422,1.99,311
8479026,2021,27,12,24103,4.5,526
8479066,2021,55,52,37641,28.88,899
8479249,2021,2,0,1217,0.84,26
8479252,2021,4,7,3361,0.28,68
8479289,2021,4,0,3057,0.5,75
8479291,2021,61,18,50691,2.56,1101
8479293,2021,30,13,26222,14.67,635
8479304,2021,6,2,3440,1.27,78
8479314,2021,82,68,88065,121.15,1787
8479315,2021,5,0,2632,1.5,66
8479316,2021,82,79,68042,15.79,1568
8479318,2021,73,18,90270,132.08,1669
8479320,2021,5,0,3762,2.2,79
8479321,2021,1,0,738,1.2,19
8479322,2021,1,0,496,0.15,12
8479323,2021,78,26,111886,67.65,2191
8479324,2021,78,48,94070,18.02,2061
8479325,2021,78,66,115386,78.05,2216
8479328,2021,49,8,30303,6.26,671
8479333,2021,17,8,13391,-3.55,294
8479335,2021,80,10,68533,33.06,1521
8479336,2021,54,26,35283,20.15,832
8479337,2021,82,19,102613,74.99,1895
8479338,2021,20,4,15833,0.9,344
8479339,2021,56,24,63267,44.13,1199
8479341,2021,34,4,31903,4.9,728
8479343,2021,67,28,80958,50.78,1693
8479344,2021,65,20,63302,56.65,1252
8479345,2021,47,37,64837,19.43,1229
8479346,2021,79,20,60857,42.72,1507
8479347,2021,29,8,14858,3.69,327
8479348,2021,36,20,36153,2.45,707
8479351,2021,68,16,50233,11.91,1102
8479353,2021,47,12,30049,18.26,725
8479355,2021,18,6,13774,3.75,323
8479356,2021,45,19,32034,16.34,681
8479359,2021,12,9,6512,2.6,151
8479362,2021,10,4,4319,-0.32,111
8479364,2021,8,0,4542,-0.48,109
8479365,2021,60,57,41953,21.46,950
8479366,2021,39,8,23844,6.69,553
8479367,2021,13,9,8845,-0.17,204
8479368,2021,2,5,1188,0,29
8479369,2021,82,60,105665,5.85,2013
8479370,2021,80,34,61536,19.61,1377
8479371,2021,66,24,75447,31.65,1606
8479372,2021,38,12,32058,2.6,703
8479373,2021,61,12,50479,18.46,1207
8479376,2021,37,4,32466,3.58,759
8479378,2021,58,44,54442,14.35,1176
8479379,2021,47,83,23736,5.03,562
8479382,2021,15,4,9009,-1.68,227
8479383,2021,59,19,35118,7.35,865
8479385,2021,74,20,73601,64.77,1482
8479388,2021,52,36,46999,2.42,1067
8479390,2021,74,10,54771,21.21,1242
8479393,2021,63,25,56457,18.04,1296
8479395,2021,11,2,10437,2.67,205
8479398,2021,67,20,86999,32.98,1809
8479400,2021,81,86,91951,64.12,1767
8479402,2021,67,26,82684,20.5,1621
8479404,2021,52,22,32819,3.73,799
8479407,2021,76,16,79481,76.49,1749
8479410,2021,78,59,105154,41.98,2073
8479413,2021,2,0,1285,-0.35,33
8479414,2021,72,45,51432,19.3,1196
8479415,2021,77,52,61566,14.53,1609
8479419,2021,19,13,14804,2.3,327
8479420,2021,78,27,83676,66.89,1739
8479421,2021,19,2,18629,5.83,395
